text,intent
eh mover la carpeta proyectos/ a archivos/,movdic
porfa agrega adios donde diga resumen en reporte.txt,modificaDondeDice
quiero lista los archibos .pdf dentro de docs/,listarTipo
eh hace una copia de imagenes/ dentro de respaldo/,dupdic
haceme el favor de clonar plan.txt a seguridad/,copiar
extrae el texto de reporte.pdf,leerPDF
dale inserta nuevo resumen antes de resumen en notas.txt,modificaDondeDice
podes hace una copia de reportes/ dentro de archivos/,dupdic
por favor move notas.txt al directorio backup/,mover
che encontra proyectos,buscarCarpeta
necesito move notas.txt al directorio docs/,mover
cuando puedas listar todos los archivos .csv en docs/,listarTipo
podes mostrame los .pdff que haya en proyectos/,listarTipo
por  favor  encontrar  la  carpeta  documentos,buscarCarpeta
quiero agrega calculo donde diga resumen en reporte.txt,modificaDondeDice
seria bueno si sacar reporte.docx,eliminARchivo
eh ponele dataset.csv a reporte.docx,renombrar
porfa trasladar notas.txt a docs/,mover
eh renombrar datos.csv por plan_2025.txt,renombrar
eh mostrame los .txt que haya en docs/,listarTipo
necesito verificar plan.pdf en todo el disco,buscarArchivo
pone informacion actualizada donde dice total dentro de plan.txt,modificaDondeDice
quiero  podes  producir  un  archivo  diario.txt,crea
che agrega nuevo resumen donde diga dato en reporte.txt,modificaDondeDice
cuando puedas cambia dato por nuevo dato dentro de reporte.txt,reemplazar
seria bueno si hace un pdf con reporte.txt,archivoAaPDF
podes encontra proyectos,buscarCarpeta
necesito localiza plan.pdf,buscarArchivo
eh consultar el archivo reporte.txt,leerArchivo
cuando puedas pasa plan.txt a seguridad/,copiar
seria bueno si hace un pdf con notas.txt,archivoAaPDF
quiero mostrame los .csv que haya en proyectos/,listarTipo
porfa borrar basura.pdf,eliminARchivo
dale duplica reportes/ a archivos/,dupdic
haceme el favor de reubicar la carpeta reportes/ a backup/,movdic
necesito ver todos los archivos .pdf en proyectos/,listarTipo
seria bueno si duplicar plan.txt a docs/,copiar
che pasa informe.docx a docs/,copiar
haceme generar nuevo.txt,crea
por favor genera el archivo nuevo.txt,crea
por favor hace una copia de plan.txt en docs/,copiar
move plan.txt al directorio docs/,mover
necesito cambia dato por nuevo dato dentro de notas.txt,reemplazar
che leer el contenido de informe.pdf,leerPDF
quiero buscar todos los archivos .txt en backup/,listarTipo
seria bueno si trasladar plan.txt a proyectos/,mover
por favor extrae el texo de informe.pdf,PDFaTexto
seria bueno si sacar informe.pdf a texto,PDFaTexto
quiero copiar plan.txt a docs/,copiar
porfa cambia el nombre de plan.txt a notas_nuevo.txt,renombrar
DALE QUITAR EL ARCHIVO REPORTE.DOCX,eliminARchivo
necesito quita resumen del archivo plan.txt,sacarLoQueDice
cuando puedas localizar la carpeta proyectos,buscarCarpeta
converti notas.txt en formato pdf,archivoAaPDF
HACEME EL FAVOR DE COPIAR DATOS.CSV A BACKUP/,copiar
che hace una copia de proyectos/ dentro de respaldo/,dupdic
seria bueno si clonar la carpeta proyectos/ en archivos/,dupdic
necesito  reemplaza  resumen  por  planeta  en  reporte.txt,reemplazar
eh inserta nuevo resumen antes de dato en reporte.txt,modificaDondeDice
PODES RENOMBRAR PLAN.TXT POR NOTAS_NUEVO.TXT,renombrar
haceme el favor de converti informe.txt en formato pdf,archivoAaPDF
por favor deja notas.txt con el nombre notas_nuevo.txt,renombrar
cambia mundo por nuevo resumen dentro de notas.txt,reemplazar
traslada reportes/ hacia archivos/,movdic
CUANDO PUEDAS CONVERTIR REPORTE.TXT A PDF,archivoAaPDF
haceme  el  favor  de  mostrame  el  contenido  de  reporte.txt,leerArchivo
podes elimina la palabra total de plan.txt,sacarLoQueDice
reemplaza mundo por chau en plan.txt,reemplazar
che crea nuevo.txt,crea
dale mostrame los .pdf que haya en proyectos/,listarTipo
cuando puedas ponele plan_2025.txt a plan.txt,renombrar
haceme el favor de hace texto de reporte.pdf,PDFaTexto
eh cambia la palabra mundo por nuevo resumen en plan.txt,reemplazar
eh leer el contenido de reporte.pdf,leerPDF
che duplica datos.csv dentro de docs/,copiar
haceme el favor de duplicar la carpeta imagenes/ en backup/,dupdic
necesito copiar la carpeta proyectos/ en archivos/,dupdic
eh duplicar datos.csv a backup/,copiar
por favor eliminar basura.pdf,eliminARchivo
che buscar proyectos en todo el disco,buscarCarpeta
deja reporte.docx con el nombre reporte_final.docx,renombrar
quiero localiza la carpeta documentos,buscarCarpeta
por favor sustitui resumen con nuevo resumen en notas.txt,reemplazar
porfa mostrar todos los archivos .txt en docs/,listarTipo
che crea nuevo.txt,crea
encontra proyectos,buscarCarpeta
seria bueno si pasa informe.pdf a txt,PDFaTexto
quiero leer notas.txt,leerArchivo
hace una copia de informe.docx en seguridad/,copiar
seria bueno si mostrar el archivo informe.txt,leerArchivo
localizar informe.txt en todo el disco,buscarArchivo
dale extrae el texto de informe.pdf,PDFaTexto
pasa  reporte.pdf  a  txt,PDFaTexto
podes cambiar texto.txt a PDF,archivoAaPDF
eh cambiar informe.txt a PDF,archivoAaPDF
dale encontrar la carpeta documentos,buscarCarpeta
eh duplica informe.docx dentro de backup/,copiar
necesito armar un nuevo archivo reporte.docx,crea
podes quitar viejo.txt,eliminARchivo
SERIA BUENO SI RENOMBRAR REPORTE.DOCX POR REPORTE_FINAL.DOCX,renombrar
quiero trasladar la carpeta imagenes/ a archivos/,movdic
porfa ponele notas_nuevo.txt a reporte.docx,renombrar
cuando puedas agrega nuevo resumen donde diga total en reporte.txt,modificaDondeDice
hace texto de informe.pdf,PDFaTexto
dale renombrar datos.csv por dataset.csv,renombrar
porfa renombrar notas.txt por notas_nuevo.txt,renombrar
eh pasa informe.pdf a txt,PDFaTexto
encontrar informe.txt en todo el disco,buscarArchivo
dale escribi nuevo resumen despues de dato en plan.txt,modificaDondeDice
necesito quiero leer reporte.txt,leerArchivo
seria bueno si ver todos los archivos .txt en proyectos/,listarTipo
quiero traslada reportes/ hacia respaldo/,movdic
DALE QUITA HOLA DEL ARCHIVO PLAN.TXT,sacarLoQueDice
EH MOSTRAR TODOS LOS ARCHIVOS .PDF EN PROYECTOS/,listarTipo
sustitui dato con chau en plan.txt,reemplazar
por favor hace texto de reporte.pdf,PDFaTexto
eh quiero leer notas.txt,leerArchivo
seria bueno si extrae el texto de reporte.pdf,leerPDF
inserta informacion actualizada antes de dato en plan.txt,modificaDondeDice
por favor quiero leer informe.txt,leerArchivo
dale duplica informe.docx dentro de seguridad/,copiar
podes cambia mundo por planeta dentro de reporte.txt,reemplazar
haceme el favor de mostrame lo que dice documento.pdf,leerPDF
por favor duplica imagenes/ a backup/,dupdic
porfa pasa informe.docx a backup/,copiar
dale duplica imagenes/ a archibos/,dupdic
haceme el favor de hace una copia de reportes/ dentro de archivos/,dupdic
haceme el favor de renombra notas.txt a plan_2025.txt,renombrar
cuando puedas quita resumen del archvo plan.txt,sacarLoQueDice
reemplaza mundo por nuevo dato en plan.txt,reemplazar
reemplaza dato por planeta en plan.txt,reemplazar
QUIERO MOSTRAR NOTAS.TXT,leerArchivo
necesito deja plan.txt con el nombre notas_nuevo.txt,renombrar
cuando  puedas  cambia  la  palabra  hola  por  planeta  en  plan.txt,reemplazar
porfa buscar documentos en todo el disco,buscarCarpeta
seria bueno si encontrar el archivo llamado reporte.docx,buscarArchivo
NECESITO CONVERTIR NOTAS.TXT A PDF,archivoAaPDF
dale traslada imagenes/ hacia archivos/,movdic
haceme el favor de haceme crear diario.txt,crea
necesito mostrame lo que dice informe.pdf,leerPDF
quiero move imagenes/ dentro de archivos/,movdic
porfa traslada notas.txt hacia backup/,mover
podes move reportes/ dentro de archivos/,movdic
deja reporte.docx con el nombre reporte_final.docx,renombrar
dale borrar viejo.txt,eliminARchivo
necesito crear un archivo llamado diario.txt,crea
cuando puedas abrir el archivo informe.txt,leerArchivo
eh encontrar imagenes en todo el disco,buscarCarpeta
podes encontra el archivo reporte.docx,buscarArchivo
QUIERO HACE UNA COPIA DE PLAN.TXT EN SEGURIDAD/,copiar
porfa extrae el texto de reporte.pdf,PDFaTexto
dale listar todos los archivos .txt en proyectos/,listarTipo
necesito crea nuevo.txt,crea
duplica informe.docx dentro de seguridad/,copiar
quita resumen del archivo notas.txt,sacarLoQueDice
che podes hacer un archivo nuevo.txt,crea
podes crear un archivo llamado nuevo.txt,crea
seria bueno si traslada imagenes/ hacia backup/,movdic
cambia el nombre de plan.txt a plan_2025.txt,renombrar
quiero elimina la palabra total de plan.txt,sacarLoQueDice
porfa mostrar informe.txt,leerArchivo
quita dato del archivo notas.txt,sacarLoQueDice
dale cambia el nombre de plan.txt a dataset.csv,renombrar
seria bueno si borra lo que diga dato en plan.txt,sacarLoQueDice
necesito quiero leer informe.txt,leerArchivo
che encontra proyectos,buscarCarpeta
necesito quiero eliminar viejo.txt,eliminARchivo
buscar la carpeta imagenes,buscarCarpeta
podes trasladar notas.txt a backup/,mover
dale genera el archivo reporte.docx,crea
porfa mover plan.txt a backup/,mover
che quita hola del archivo reporte.txt,sacarLoQueDice
porfa haceme generar nuevo.txt,crea
haceme el favor de pasa notas.txt a pdf,archivoAaPDF
porfa buscar documentos en todo el disco,buscarCarpeta
haceme el favor de renombrar notas.txt por notas_nuevo.txt,renombrar
podes hace una copia de reportes/ dentro de backup/,dupdic
CHE QUITA TOTAL DEL ARCHIVO PLAN.TXT,sacarLoQueDice
che traslada notas.txt hacia backup/,mover
podes hace un pdf con informe.txt,archivoAaPDF
quiero mostrame los .txt que haya en proyectos/,listarTipo
dale transforma reporte.txt en un pdf,archivoAaPDF
por favor transforma reporte.txt en un pdf,archivoAaPDF
porfa quita hola del archivo notas.txt,sacarLoQueDice
eh mostrame lo que dice documento.pdf,leerPDF
dale pasa informe.docx a docs/,copiar
che pasa texto.txt a pdff,archivoAaPDF
seria bueno si traslada proyectos/ hacia respaldo/,movdic
dale deja plan.txt con el nombre reporte_final.docx,renombrar
porfa duplica informe.docx dentro de seguridad/,copiar
pasar reporte.pdf a texo,PDFaTexto
seria bueno si cambia la palabra mundo por nuevo dato en notas.txt,reemplazar
quiero quiero producir reporte.docx,crea
seria bueno si encontrar plan.pdf en todo el disco,buscarArchivo
necesito move plan.txt al directorio docs/,mover
podes escribi informacion actualizada despues de total en notas.txt,modificaDondeDice
eh localizar el archivo llamado plan.pdf,buscarArchivo
localiza la carpeta imagenes,buscarCarpeta
PODES SACA REPORTE.DOCX,eliminARchivo
haceme el favor de sustitui dato con nuevo dato en plan.txt,reemplazar
por favor podes escribir un archivo nuevo.txt,crea
agrega informacion actualizada donde diga hola en reporte.txt,modificaDondeDice
cuando puedas buscar el archivo llamado reporte.docx,buscarArchivo
necesito move notas.txt al directorio proyectos/,mover
eh copiar plan.txt a backup/,copiar
haceme el favor de localizar la carpeta imagenes,buscarCarpeta
seria bueno si localizar documentos en todo el disco,buscarCarpeta
CUANDO PUEDAS PRODUCIR UN ARCHIVO LLAMADO DIARIO.TXT,crea
dale ver todos los archivos .pdf en proyectos/,listarTipo
porfa move plan.txt al directorio proyectos/,mover
che move proyectos/ dentro de archivos/,movdic
POR FAVOR LEER NOTAS.TXT,leerArchivo
cuando puedas hace una copia de plan.txt en seguridad/,copiar
porfa encontrar el archvo llamado plan.pdf,buscarArchivo
cuando puedas mover la carpeta imagenes/ a archivos/,movdic
dale pasa reporte.docx dentro de docs/,mover
cuando puedas pasa reporte.pdf a txt,PDFaTexto
podes quiero leer reporte.txt,leerArchivo
cuando puedas producir un archivo llamado diario.txt,crea
cuando puedas reemplaza dato por nuevo resumen en plan.txt,reemplazar
eh reemplaza dato por nuevo dato en plan.txt,reemplazar
seria bueno si traslada reportes/ hacia respaldo/,movdic
eh sustitui hola con nuevo dato en reporte.txt,reemplazar
cuando puedas pasa notas.txt a pdf,archivoAaPDF
eh podes crear un archivo nuevo.txt,crea
dale agrega calculo donde diga hola en plan.txt,modificaDondeDice
cuando  puedas  quiero  quitar  viejo.txt,eliminARchivo
podes mostrame el contenido de reporte.txt,leerArchivo
QUIERO TRASLADAR PLAN.TXT A DOCS/,mover
che cambia el nombre de datos.csv a plan_2025.txt,renombrar
podes encontra proyectos,buscarCarpeta
podes localiza la carpeta imagenes,buscarCarpeta
necesito localizar el archivo llamado plan.pdf,buscarArchivo
por favor localizar documentos en todo el disco,buscarCarpeta
porfa transforma texto.txt en un pdf,archivoAaPDF
podes pasa datos.csv a backup/,copiar
cuando puedas duplica imagenes/ a respaldo/,dupdic
necesito abrir el archivo reporte.txt,leerArchivo
quiero localizar plan.pdf en todo el disco,buscarArchivo
mostrame lo que dice informe.pdf,leerPDF
haceme el favor de mostrar todos los archivos .csv en backup/,listarTipo
che extrae el texto de informe.pdf,leerPDF
quiero traslada imagenes/ hacia archivos/,movdic
porfa extraer el contenido de documento.pdf,leerPDF
cuando puedas pasa reporte.txt a pdf,archivoAaPDF
cuando puedas leer el archivo informe.txt,leerArchivo
dale mostrar todos los archivos .pdf en docs/,listarTipo
cuando puedas localizar plan.pdf en todo el disco,buscarArchivo
porfa converti reporte.txt en formato pdf,archivoAaPDF
dale localiza la carpeta documentos,buscarCarpeta
podes respaldar la carpeta proyectos/ en archivos/,dupdic
che mostrame lo que dice reporte.pdf,leerPDF
cuando puedas lista los archivos .pdf dentro de backup/,listarTipo
quiero crea reporte.docx,crea
POR FAVOR ELIMINA LA PALABRA RESUMEN DE PLAN.TXT,sacarLoQueDice
quiero reemplaza resumen por nuevo dato en plan.txt,reemplazar
dale escribi adios despues de hola en plan.txt,modificaDondeDice
dale renombrar datos.csv por reporte_final.docx,renombrar
che duplica reportes/ a backup/,dupdic
por favor converti documento.pdf en texto plano,PDFaTexto
eh pasa documento.pdf a txt,PDFaTexto
seria bueno si encontra el archivo reporte.docx,buscarArchivo
haceme el favor de hacer un archibo llamado reporte.docx,crea
haceme el favor de respaldar la carpeta imagenes/ en respaldo/,dupdic
quiero abrir el archivo reporte.txt,leerArchivo
necesito ver el archivo informe.txt,leerArchivo
dale extraer el contenido de reporte.pdf,leerPDF
quiero traslada reporte.docx hacia backup/,mover
PODES MOSTRAME LOS .TXT QUE HAYA EN BACKUP/,listarTipo
porfa hace una copia de plan.txt en backup/,copiar
haceme el favor de extrae el texto de reporte.pdf,leerPDF
por favor renombrar notas.txt por dataset.csv,renombrar
por favor hace una copia de plan.txt en backup/,copiar
dale  mostrame  el  contenido  de  reporte.txt,leerArchivo
extrae el texto de documento.pdf,PDFaTexto
quiero encontra el archivo reporte.docx,buscarArchivo
che borrar el archivo viejo.txt,eliminARchivo
haceme el favor de duplica proyectos/ a archvos/,dupdic
cuando puedas hace una copia de imagenes/ dentro de backup/,dupdic
quiero pasa datos.csv a docs/,copiar
por favor reubicar reporte.docx a proyectos/,mover
quiero hace una copia de imagenes/ dentro de respaldo/,dupdic
por favor cambia hola por planeta dentro de plan.txt,reemplazar
cuando puedas mostrame los .csv que haya en proyectos/,listarTipo
seria bueno si pasa informe.docx a backup/,copiar
porfa pasa notas.txt dentro de proyectos/,mover
eh sustitui hola con nuevo dato en plan.txt,reemplazar
porfa encontrar proyectos en todo el disco,buscarCarpeta
HACEME EL FAVOR DE LISTA LOS ARCHIVOS .CSV DENTRO DE PROYECTOS/,listarTipo
eh localizar la carpeta imagenes,buscarCarpeta
mostrame el contenido de reporte.txt,leerArchivo
podes ponele notas_nuevo.txt a plan.txt,renombrar
mover notas.txt a docs/,mover
dale saca viejo.txt,eliminARchivo
PORFA EXTRAE EL TEXTO DE REPORTE.PDF,leerPDF
necesito hace un pdf con reporte.txt,archivoAaPDF
dale encontra el archivo informe.txt,buscarArchivo
quiero saca log.txt,eliminARchivo
cuando puedas encontra imagenes,buscarCarpeta
necesito pasa informe.docx a seguridad/,copiar
seria bueno si localiza informe.txt,buscarArchivo
porfa leer el contenido de documento.pdf,leerPDF
che transformar reporte.pdf a texto,PDFaTexto
che  localizar  proyectos  en  todo  el  disco,buscarCarpeta
seria bueno si pasa plan.txt dentro de proyectos/,mover
eh cambia la palabra mundo por nuevo resumen en notas.txt,reemplazar
mostrar el contenido de reporte.pdf,leerPDF
seria  bueno  si  move  notas.txt  al  directorio  backup/,mover
necesito saca log.txt,eliminARchivo
dale escribi calculo despues de dato en reporte.txt,modificaDondeDice
necesito cambia la palabra dato por chau en notas.txt,reemplazar
haceme el favor de mover reporte.docx a backup/,mover
seria bueno si localiza informe.txt,buscarArchivo
necesito trasladar plan.txt a docs/,mover
che sacar el archivo basura.pdf,eliminARchivo
saca todo lo que diga hola en plan.txt,sacarLoQueDice
dale renombrar notas.txt por plan_2025.txt,renombrar
haceme el favor de pone calculo donde dice hola dentro de plan.txt,modificaDondeDice
che saca log.txt,eliminARchivo
che eliminar el archivo viejo.txt,eliminARchivo
respaldar la carpeta proyectos/ en backup/,dupdic
cuando puedas cambia el nombre de reporte.docx a reporte_final.docx,renombrar
quiero hace texto de documento.pdf,PDFaTexto
podes localizar la carpeta documentos,buscarCarpeta
porfa  borra  viejo.txt  que  ya  no  sirve,eliminARchivo
HACEME EL FAVOR DE LOCALIZA INFORME.TXT,buscarArchivo
por favor quiero eliminar reporte.docx,eliminARchivo
porfa duplica proyectos/ a archivos/,dupdic
che remover log.txt,eliminARchivo
QUIERO ELIMINA LA PALABRA HOLA DE PLAN.TXT,sacarLoQueDice
che duplica informe.docx dentro de docs/,copiar
podes deja reporte.docx con el nombre plan_2025.txt,renombrar
CUANDO PUEDAS DEJA NOTAS.TXT CON EL NOMBRE NOTAS_NUEVO.TXT,renombrar
necesito saca todo lo que diga hola en reporte.txt,sacarLoQueDice
haceme el favor de sustitui mundo con nuevo resumen en plan.txt,reemplazar
che borra lo que diga total en notas.txt,sacarLoQueDice
dale sacar el archivo basura.pdf,eliminARchivo
necesito mostrame lo que dice reporte.pdf,leerPDF
eh  duplica  datos.csv  dentro  de  backup/,copiar
quiero mostrame lo que dice reporte.pdf,leerPDF
dale hace texto de documento.pdf,PDFaTexto
CREA NOTAS.TXT,crea
podes saca todo lo que diga dato en plan.txt,sacarLoQueDice
che sustitui dato con planeta en plan.txt,reemplazar
podes abrir notas.txt,leerArchivo
porfa crea notas.txt,crea
QUIERO ELIMINA LA PALABRA HOLA DE NOTAS.TXT,sacarLoQueDice
eh ponele reporte_final.docx a notas.txt,renombrar
genera el archivo reporte.docx,crea
porfa ponele notas_nuevo.txt a notas.txt,renombrar
cuando puedas borra lo que diga hola en plan.txt,sacarLoQueDice
move proyectos/ dentro de backup/,movdic
che reemplaza hola por nuevo dato en plan.txt,reemplazar
porfa trasladar la carpeta proyectos/ a backup/,movdic
dale move reportes/ dentro de archivos/,movdic
haceme el favor de pasa reporte.pdf a txt,PDFaTexto
dale move reportes/ dentro de archivos/,movdic
podes extrae el texto de informe.pdf,PDFaTexto
necesito hace un pdf con notas.txt,archivoAaPDF
seria bueno si respaldar la carpeta reportes/ en backup/,dupdic
cuando puedas reemplaza dato por nuevo resumen en notas.txt,reemplazar
che encontra documentos,buscarCarpeta
podes agrega adios donde diga total en notas.txt,modificaDondeDice
PODES DEJA DATOS.CSV CON EL NOMBRE PLAN_2025.TXT,renombrar
por favor pasa notas.txt a pdf,archivoAaPDF
por favor move reportes/ dentro de archivos/,movdic
por favor localiza la carpeta proyectos,buscarCarpeta
eh leer el contenido de documento.pdf,leerPDF
eh borrar el archivo viejo.txt,eliminARchivo
quiero remover basura.pdf,eliminARchivo
seria bueno si lista los archivos .txt dentro de proyectos/,listarTipo
seria bueno si traslada proyectos/ hacia backup/,movdic
necesito inserta nuevo resumen antes de hola en reporte.txt,modificaDondeDice
dale buscar el archivo llamado plan.pdf,buscarArchivo
che escribi informacion actualizada despues de dato en reporte.txt,modificaDondeDice
CUANDO PUEDAS CONVERTIR INFORME.PDF A TEXTO,PDFaTexto
haceme el favor de borrar el archivo reporte.docx,eliminARchivo
dale mover reporte.docx a backup/,mover
haceme el favor de renombrar notas.txt por dataset.csv,renombrar
necesito reubicar la carpeta imagenes/ a backup/,movdic
dale  lista  los  archibos  .csv  dentro  de  backup/,listarTipo
necesito traslada imagenes/ hacia backup/,movdic
che crear un archivo llamado diario.txt,crea
podes trasladar notas.txt a proyectos/,mover
che renombrar reporte.docx por dataset.csv,renombrar
podes deja plan.txt con el nombre reporte_final.docx,renombrar
eh sacar reporte.pdf a texto,PDFaTexto
podes extrae el teto de documento.pdff,PDFaTexto
podes extrae el texto de reporte.pdf,leerPDF
dale pasa plan.txt dentro de backup/,mover
necesito ver el contenido de documento.pdf,leerPDF
porfa localiza informe.txt,buscarArchivo
pasa plan.txt dentro de docs/,mover
quiero cambia la palabra dato por nuevo dato en plan.txt,reemplazar
cuando puedas extrae el texto de informe.pdf,PDFaTexto
haceme el favor de pasar informe.txt a PDF,archivoAaPDF
podes escribi calculo despues de total en plan.txt,modificaDondeDice
por favor saca viejo.txt,eliminARchivo
eh encontrar documentos en todo el disco,buscarCarpeta
eh reemplaza resumen por nuevo dato en reporte.txt,reemplazar
cambia la palabra dato por chau en notas.txt,reemplazar
seria bueno si encontrar imagenes en todo el disco,buscarCarpeta
porfa pasa informe.docx a backup/,copiar
dale encontra el archivo plan.pdf,buscarArchivo
cuando puedas quiero leer notas.txt,leerArchivo
eh transforma notas.txt en un pdf,archivoAaPDF
por favor move plan.txt al directorio proyectos/,mover
renombrar datos.csv por dataset.csv,renombrar
haceme el favor de traslada imagenes/ hacia backup/,movdic
quiero quiero leer reporte.txt,leerArchivo
eh saca todo lo que diga total en notas.txt,sacarLoQueDice
podes mostrame el contenido de reporte.txt,leerArchivo
dale mostrame los .txt que haya en docs/,listarTipo
porfa cambia la palabra dato por nuevo resumen en reporte.txt,reemplazar
haceme el favor de encontrar la carpeta imagenes,buscarCarpeta
che leer reporte.txt,leerArchivo
cuando puedas listar todos los archivos .txt en proyectos/,listarTipo
podes renombrar reporte.docx por plan_2025.txt,renombrar
dale pasa datos.csv a docs/,copiar
eh encontra el archvo reporte.docx,buscarArchivo
porfa localizar reporte.docx en todo el disco,buscarArchivo
pasa reporte.docx dentro de docs/,mover
seria bueno si converti informe.txt en formato pdf,archivoAaPDF
eh escribi calculo despues de total en plan.txt,modificaDondeDice
che localiza reporte.docx,buscarArchivo
necesito lista los archivos .csv dentro de docs/,listarTipo
cuando puedas pone informacion actualizada donde dice total dentro de plan.txt,modificaDondeDice
porfa converti notas.txt en formato pdf,archivoAaPDF
por favor quitar log.txt,eliminARchivo
quiero quiero eliminar reporte.docx,eliminARchivo
seria bueno si elimina la palabra resumen de reporte.txt,sacarLoQueDice
dale converti reporte.pdf en texto plano,PDFaTexto
inserta adios antes de dato en reporte.txt,modificaDondeDice
seria bueno si mostrame los .txt que haya en backup/,listarTipo
porfa podes generar un archivo diario.txt,crea
necesito hace un pdf con texto.txt,archivoAaPDF
haceme el favor de localizar la carpeta proyectos,buscarCarpeta
por favor leer el contenido de informe.pdf,leerPDF
che agrega nuevo resumen donde diga resumen en reporte.txt,modificaDondeDice
seria bueno si localizar reporte.docx en todo el disco,buscarArchivo
necesito trasladar la carpeta imagenes/ a archivos/,movdic
PODES LISTA LOS ARCHIVOS .CSV DENTRO DE DOCS/,listarTipo
quiero hace un pdf con reporte.txt,archivoAaPDF
cuando puedas extrae el texto de documento.pdf,PDFaTexto
eh pasa plan.txt dentro de docs/,mover
che traslada reportes/ hacia backup/,movdic
che converti informe.txt en formato pdf,archivoAaPDF
necesito escribi adios despues de resumen en notas.txt,modificaDondeDice
eh quiero leer notas.txt,leerArchivo
por favor traslada notas.txt hacia docs/,mover
por favor encontrar la carpeta imagenes,buscarCarpeta
haceme el favor de encontra documentos,buscarCarpeta
renombra notas.txt a dataset.csv,renombrar
che traslada proyectos/ hacia archivos/,movdic
dale converti notas.txt en formato pdf,archivoAaPDF
necesito lista los archivos .csv dentro de backup/,listarTipo
cuando puedas cambia la palabra dato por planeta en notas.txt,reemplazar
necesito inserta nuevo resumen antes de resumen en plan.txt,modificaDondeDice
necesito agrega adios donde diga dato en reporte.txt,modificaDondeDice
haceme el favor de sustitui hola con planeta en notas.txt,reemplazar
porfa quiero quitar log.txt,eliminARchivo
hace un pdff con notas.txt,archivoAaPDF
por favor pasa reporte.docx dentro de proyectos/,mover
seria bueno si localizar proyectos en todo el disco,buscarCarpeta
PORFA MOVE REPORTES/ DENTRO DE RESPALDO/,movdic
che buscar todos los archivos .pdf en proyectos/,listarTipo
eh pasa datos.csv a docs/,copiar
haceme el favor de inserta informacion actualizada antes de total en plan.txt,modificaDondeDice
porfa lista los archivos .csv dentro de docs/,listarTipo
cuando puedas pasa datos.csv a docs/,copiar
eh necesito generar un nuevo archivo nuevo.txt,crea
localiza la carpeta proyectos,buscarCarpeta
haceme el favor de transforma notas.txt en un pdf,archivoAaPDF
seria bueno si converti documento.pdf en texto plano,PDFaTexto
che pasa informe.pdf a txt,PDFaTexto
dale  mostrame  lo  que  dice  reporte.pdf,leerPDF
quiero quita resumen del archivo plan.txt,sacarLoQueDice
podes hace texto de documento.pdf,PDFaTexto
buscar todos los archivos .pdf en docs/,listarTipo
por favor extrae el texto de documento.pdf,PDFaTexto
porfa hace una copia de reportes/ dentro de backup/,dupdic
necesito hacer un archivo llamado diario.txt,crea
cuando puedas encontra imagenes,buscarCarpeta
podes lista los archvos .txt dentro de backup/,listarTipo
che quiero leer reporte.txt,leerArchivo
haceme el favor de renombrar notas.txt por plan_2025.txt,renombrar
eh traslada reporte.docx hacia proyectos/,mover
seria bueno si copiar datos.csv a backup/,copiar
necesito producir un archivo llamado nuevo.txt,crea
porfa saca todo lo que diga resumen en reporte.txt,sacarLoQueDice
cuando puedas copiar plan.txt a seguridad/,copiar
podes reemplaza mundo por chau en plan.txt,reemplazar
por favor renombra datos.csv a notas_nuevo.txt,renombrar
dale cambia resumen por nuevo resumen dentro de notas.txt,reemplazar
quiero traslada proyectos/ hacia archivos/,movdic
por favor genera el archivo nuevo.txt,crea
quiero leer reporte.txt,leerArchivo
cuando puedas transformar reporte.pdf a texto,PDFaTexto
porfa necesito escribir un nuevo archivo nuevo.txt,crea
HACEME EL FAVOR DE RESPALDAR LA CARPETA IMAGENES/ EN RESPALDO/,dupdic
eh encontra proyectos,buscarCarpeta
dale hace un pdf con reporte.txt,archivoAaPDF
eh hace un pdf con texto.txt,archivoAaPDF
cuando puedas lista los archivos .txt dentro de docs/,listarTipo
quiero borra lo que diga hola en plan.txt,sacarLoQueDice
haceme el favor de agrega nuevo resumen donde diga hola en notas.txt,modificaDondeDice
haceme el favor de saca todo lo que diga dato en notas.txt,sacarLoQueDice
porfa genera el archivo notas.txt,crea
porfa mostrame el contenido de reporte.txt,leerArchivo
hace texto de reporte.pdf,PDFaTexto
podes hace texto de informe.pdf,PDFaTexto
por favor pasa plan.txt a seguridad/,copiar
podes cambia resumen por planeta dentro de plan.txt,reemplazar
haceme el favor de hace una copia de proyectos/ dentro de backup/,dupdic
che elimina la palabra hola de notas.txt,sacarLoQueDice
seria bueno si mostrar el archivo reporte.txt,leerArchivo
cuando  puedas  traslada  reportes/  hacia  backup/,movdic
che borra lo que diga dato en reporte.txt,sacarLoQueDice
cuando puedas cambia la palabra resumen por nuevo resumen en notas.txt,reemplazar
podes duplica informe.docx dentro de backup/,copiar
por favor saca todo lo que diga total en plan.txt,sacarLoQueDice
por favor extrae el teto de documento.pdf,leerPDF
eh agrega informacion actualizada donde diga total en notas.txt,modificaDondeDice
encontra  el  archivo  informe.txt,buscarArchivo
cuando puedas borrar el archivo log.txt,eliminARchivo
necesito saca viejo.txt,eliminARchivo
VER INFORME.TXT,leerArchivo
porfa duplica plan.txt dentro de backup/,copiar
eh haceme hacer diario.txt,crea
podes abri reporte.txt,leerArchivo
porfa encontra proyectos,buscarCarpeta
haceme el favor de cambia hola por planeta dentro de plan.txt,reemplazar
necesito lista los archivos .csv dentro de docs/,listarTipo
